Ref,Qty,Value,Footprint,Link,Part No.,
R103 R203 ,2,27k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-27.0KCRCT-ND">Link</a>,311-27.0KCRCT-ND
R204 ,1,536k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-536KCRCT-ND">Link</a>,311-536KCRCT-ND
R207 R210 ,2,100k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-100KCRCT-ND">Link</a>,311-100KCRCT-ND
R206 ,1,46.4k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=RMCF0805FT46K4CT-ND">Link</a>,RMCF0805FT46K4CT-ND
R212 R201 R205 ,3,162k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-162KCRCT-ND">Link</a>,311-162KCRCT-ND
R202 ,1,49.9k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=RMCF0805FT49K9CT-ND">Link</a>,RMCF0805FT49K9CT-ND
R208 ,1,27k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-27.0KCRCT-ND">Link<a/>,311-27.0KCRCT-ND
R213 R211 ,2,12.4k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=P12.4KCCT-ND">Link</a>,P12.4KCCT-ND
R214 ,1,15k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-15.0KCRCT-ND">Link</a>,311-15.0KCRCT-ND
R304 ,1,10,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-10.0CRCT-ND">Link</a>,311-10.0CRCT-ND
R301 ,1,np,Resistors_SMD:R_0805_HandSoldering,np,np
SCREW401 ,1,QTY 4 SCREWS,Oddities:Dummy_Empty,<a href="https://www.digikey.com/products/en/hardware-fasteners-accessories/screws-bolts/572?k=H742-ND">Link</a>,H742-ND
T101 ,1,#24 / BN-61-202,Oddities:BN-202_Core_1Tapped_winding_Vert_TH,<a href="http://www.amidoncorp.com/bn-61-202">Link</a>,n/a
TP301 ,1,I2C,Pin_Headers:Pin_Header_Straight_1x03,np,np
