Ref,Qty,Value,Footprint,Link,Part No.,
Q102 ,1,IRF610,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical_LargePads,<a href="https://www.digikey.com/products/en?keywords=IRF610PBF-ND">Link</a>,IRF610PBF-ND
Q101 ,1,LMN400E01,TO_SOT_Packages_SMD:SOT-363_Handsolder,<a href="https://www.digikey.com/products/en?keywords=LMN400E01DICT-ND">Link</a>,LMN400E01-7
Q103 ,1,AFT05MS004N,TO_SOT_Packages_SMD:SOT89-3_Housing_Handsoldering,<a href="https://www.digikey.com/products/en?keywords=AFT05MS004NT1CT-ND">Link</a>,AFT05MS004NT1CT-ND
R106 ,1,240 2W,Resistors_SMD:R_2512_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=A116017CT-ND">Link</a>,A116017CT-ND
R501 R502 R503 R504 ,4,0,Resistors_SMD:Zero_Ohm_0805_HandSoldering,np,np
R101 ,1,49.9k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-49.9KCRCT-ND">Link</a>,311-49.9KCRCT-ND
R104 ,1,33,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=2019-RK73H2ATTD33R0FCT-ND">Link</a>,2019-RK73H2ATTD33R0FCT-ND
R105 ,1,270,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-270CRCT-ND">Link</a>,311-270CRCT-ND
R102 R305 R307 R306 R310 ,5,10k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-10.0KCRCT-ND">Link</a>,311-10.0KCRCT-ND
R204 ,1,536k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-536KCRCT-ND">Link</a>,311-536KCRCT-ND
R207 R210 ,2,100k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-100KCRCT-ND">Link</a>,311-100KCRCT-ND
R206 ,1,46.4k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=RMCF0805FT46K4CT-ND">Link</a>,RMCF0805FT46K4CT-ND
R212 R201 R205 ,3,162k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-162KCRCT-ND">Link</a>,311-162KCRCT-ND
R202 ,1,49.9k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=RMCF0805FT49K9CT-ND">Link</a>,RMCF0805FT49K9CT-ND
R208 R203 ,2,27k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-27.0KCRCT-ND">Link</a>,311-27.0KCRCT-ND
R213 R211 ,2,12.4k,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=P12.4KCCT-ND">Link</a>,P12.4KCCT-ND
R304 ,1,10,Resistors_SMD:R_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-10.0CRCT-ND">Link</a>,311-10.0CRCT-ND
SCREW401 ,1,QTY 4 SCREWS,Oddities:Dummy_Empty,<a href="https://www.digikey.com/products/en/hardware-fasteners-accessories/screws-bolts/572?k=H742-ND">Link</a>,H742-ND
TP301 ,1,I2C,Pin_Headers:Pin_Header_Straight_1x03,np,np
U110 U306 U308 ,3,MIC5219-3.3BM5,TO_SOT_Packages_SMD:SOT-23-5_Handsolder,<a href="https://www.digikey.com/products/en?keywords=576-1281-1-ND">Link</a>,576-1281-1-ND
U104 ,1,THS9001,TO_SOT_Packages_SMD:SOT-23-6_Handsolder,<a href="https://www.digikey.com/products/en?keywords=%09296-16645-1-ND">Link</a>,296-16645-1-ND
U107 ,1,LM5134B,TO_SOT_Packages_SMD:SOT-23-6_Handsolder,<a href="https://www.digikey.com/products/en?keywords=296-40244-1-ND">Link</a>,296-40244-1-ND
U105 ,1,MIC5219-5.0YM5,TO_SOT_Packages_SMD:SOT-23-5_Handsolder,<a href="https://www.digikey.com/products/en?keywords=576-2770-1-ND">Link</a>,576-2770-1-ND
U101 ,1,DAC081C085,SMD_Packages:SSOP-8_Handsolder,<a href="https://www.digikey.com/products/en?keywords=DAC081C085CIMM%2FNOPBCT-ND">Link</a>,DAC081C085CIMM%2FNOPBCT-ND
U203 ,1,LTC3600,SMD_Packages:SSOP-12_Pad_Handsolder,<a href="https://www.digikey.com/products/en?keywords=LTC3600EMSE%23PBF-ND">Link</a>,LTC3600EMSE#PBF-ND
U201 ,1,DAC081C085,SMD_Packages:SSOP-8_Handsolder,<a href="https://www.digikey.com/products/en?keywords=DAC081C085CIMM%2FNOPBCT-ND">Link</a>,DAC081C085CIMM/NOPBCT-ND
U202 ,1,OPA171,TO_SOT_Packages_SMD:SOT-23-5_Handsolder,<a href="https://www.digikey.com/products/en?keywords=296-37698-1-ND">Link</a>,296-37698-1-ND
U303 ,1,ATMEGA328P,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,<a href="https://www.digikey.com/products/en?keywords=ATMEGA328P-AURCT-ND">Link</a>,ATMEGA328P-AURCT-ND
U304 ,1,SI5351A,Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm_Handsolder,<a href="https://www.digikey.com/products/en?keywords=336-2399-5-ND">Link</a>,336-2399-5-ND
U301 ,1,DS3231,SMD_Packages:SO16_Handsolder,<a href="https://www.digikey.com/products/en?keywords=DS3231S%23T%26RCT-ND">Link</a>,DS3231S#T&RCT-ND
U305 ,1,74HC1G08,TO_SOT_Packages_SMD:SOT-23-5_Handsolder,<a href="https://www.digikey.com/products/en?keywords=MC74HC1G08DTT1GOSCT-ND">Link</a>,MC74HC1G08DTT1GOSCT-ND
U307 ,1,SN74CB3Q3305,Housings_SSOP:TSSOP-8_3x3mm_Pitch0.65mm_Handsolder,<a href="https://www.digikey.com/products/en?keywords=296-16809-1-ND">Link</a>,296-16809-1-ND
U302 ,1,TS5A3157,TO_SOT_Packages_SMD:SOT-363_Handsolder,<a href="https://www.digikey.com/products/en?keywords=296-17588-1-ND">Link</a>,296-17588-1-ND
W116 J501 J504 J506 J508 ,5,GND,Pin_Headers:Pin_Header_Straight_1x01,np,np
W114 ,1,GND,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,np,np
W102 ,1,P1,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W104 ,1,P2,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W110 ,1,P4,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W105 ,1,T2,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
W108 ,1,T4,Measurement_Points:Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,np,np
